MD (m RKB),Inc (deg),Azim (deg),TVD (m RKB),X-Offset (m),Y-Offset (m),UTM E/W (m),UTM N/S (m),DLS (deg/30m),WELL_NAME
2200,6,38.53,2099.13,-468.036,-13.128,434582.148,6478550.399,2.39,15-9-F-11-B
2210,6.56,42.36,2109.07,-467.326,-12.297,434582.858,6478551.23,2.1,15-9-F-11-B
2220,7.3,46.42,2119,-466.481,-11.437,434583.703,6478552.09,2.66,15-9-F-11-B
2230,8.25,51.54,2128.91,-465.459,-10.553,434584.724,6478552.974,3.52,15-9-F-11-B
2240,9.24,55.2,2138.79,-464.237,-9.648,434585.945,6478553.878,3.41,15-9-F-11-B
2250,10.14,57.43,2148.65,-462.836,-8.716,434587.346,6478554.81,2.92,15-9-F-11-B
2260,11.11,59.85,2158.48,-461.261,-7.759,434588.92,6478555.767,3.2,15-9-F-11-B
2270,12.04,61.78,2168.27,-459.509,-6.781,434590.672,6478556.744,3.02,15-9-F-11-B
2280,12.77,63.25,2178.04,-457.603,-5.791,434592.577,6478557.734,2.39,15-9-F-11-B
2290,13.29,64.43,2187.78,-455.579,-4.797,434594.6,6478558.727,1.75,15-9-F-11-B
2300,13.92,65.47,2197.5,-453.448,-3.802,434596.731,6478559.723,2.03,15-9-F-11-B
2310,14.69,65.98,2207.19,-451.196,-2.786,434598.982,6478560.738,2.34,15-9-F-11-B
2320,15.47,66.14,2216.85,-448.818,-1.731,434601.359,6478561.793,2.34,15-9-F-11-B
2330,16.18,66.32,2226.47,-446.322,-0.632,434603.854,6478562.892,2.14,15-9-F-11-B
2340,16.93,66.49,2236.06,-443.711,0.509,434606.464,6478564.032,2.25,15-9-F-11-B
2350,17.72,66.96,2245.6,-440.975,1.685,434609.199,6478565.208,2.41,15-9-F-11-B
2360,18.61,67.36,2255.1,-438.102,2.895,434612.071,6478566.417,2.7,15-9-F-11-B
2370,19.52,67.72,2264.55,-435.084,4.143,434615.089,6478567.664,2.75,15-9-F-11-B
2380,20.43,68.12,2273.95,-431.918,5.427,434618.253,6478568.948,2.76,15-9-F-11-B
2390,21.25,68.32,2283.3,-428.614,6.747,434621.556,6478570.267,2.47,15-9-F-11-B
2400,21.92,68.35,2292.6,-425.195,8.105,434624.974,6478571.625,2.01,15-9-F-11-B
2410,22.61,68.54,2301.85,-421.672,9.497,434628.496,6478573.016,2.08,15-9-F-11-B
2420,23.43,68.67,2311.05,-418.03,10.923,434632.136,6478574.442,2.46,15-9-F-11-B
2430,24.36,68.72,2320.2,-414.257,12.395,434635.908,6478575.913,2.79,15-9-F-11-B
2440,25.31,68.55,2329.27,-410.345,13.925,434639.818,6478577.443,2.86,15-9-F-11-B
2450,26.29,68.14,2338.28,-406.3,15.531,434643.862,6478579.049,2.99,15-9-F-11-B
2460,27.23,67.77,2347.2,-402.127,17.221,434648.034,6478580.738,2.86,15-9-F-11-B
2470,28.23,67.35,2356.06,-397.827,18.998,434652.333,6478582.514,3.06,15-9-F-11-B
2480,29.08,67.17,2364.83,-393.404,20.851,434656.754,6478584.367,2.56,15-9-F-11-B
2490,30.08,67.26,2373.53,-388.853,22.763,434661.303,6478586.278,3,15-9-F-11-B
2500,31.02,67.18,2382.14,-384.167,24.731,434665.988,6478588.246,2.82,15-9-F-11-B
2510,31.64,67.35,2390.68,-379.371,26.741,434670.782,6478590.254,1.88,15-9-F-11-B
2520,32.15,67.45,2399.17,-374.493,28.771,434675.658,6478592.284,1.54,15-9-F-11-B
2530,32.87,67.45,2407.6,-369.53,30.832,434680.62,6478594.344,2.16,15-9-F-11-B
2540,34.06,67.96,2415.95,-364.428,32.924,434685.72,6478596.435,3.67,15-9-F-11-B
2550,35.36,68.34,2424.17,-359.142,35.043,434691.004,6478598.553,3.95,15-9-F-11-B
2560,36.24,68.58,2432.28,-353.701,37.19,434696.443,6478600.7,2.67,15-9-F-11-B
2570,36.93,68.78,2440.31,-348.149,39.357,434701.993,6478602.866,2.1,15-9-F-11-B
2603.3,38.69,72.5,2466.62,-328.893,46.109,434721.242,6478609.616,2.59,15-9-F-11-B
2643.4,41.55,75.42,2497.28,-304.062,53.228,434746.065,6478616.732,2.56,15-9-F-11-B
2683.9,46.01,77.51,2526.52,-276.824,59.763,434773.294,6478623.266,3.47,15-9-F-11-B
2724.4,50.83,78.14,2553.39,-247.218,66.145,434802.889,6478629.645,3.59,15-9-F-11-B
2764.7,54.97,77.33,2577.69,-215.817,72.977,434834.279,6478636.475,3.12,15-9-F-11-B
2805.2,59.75,75.82,2599.53,-182.659,80.904,434867.426,6478644.399,3.66,15-9-F-11-B
2844.7,63.05,73.92,2618.44,-149.19,89.963,434900.883,6478653.455,2.81,15-9-F-11-B
2885.6,62.94,73.91,2637.01,-114.176,100.059,434935.885,6478663.548,0.08,15-9-F-11-B
2925.8,61.95,79.05,2655.62,-79.542,108.394,434970.506,6478671.88,3.48,15-9-F-11-B
2966.3,61.79,84.11,2674.72,-44.228,113.623,435005.808,6478677.106,3.31,15-9-F-11-B
3005.3,61.93,86.52,2693.12,-9.956,116.431,435040.068,6478679.914,1.64,15-9-F-11-B
3045.9,61.86,90.52,2712.25,25.834,117.356,435075.846,6478680.838,2.61,15-9-F-11-B
3086.2,62.08,93.76,2731.19,61.375,116.027,435111.374,6478679.51,2.14,15-9-F-11-B
3126.9,62.08,97.11,2750.25,97.169,112.622,435147.156,6478676.105,2.18,15-9-F-11-B
3167.7,62.72,101.07,2769.16,132.861,106.907,435182.835,6478670.393,2.62,15-9-F-11-B
3237.8,61.97,108.75,2801.73,192.801,90.962,435242.754,6478654.453,2.93,15-9-F-11-B
3278.3,65.4,113.86,2819.7,226.593,77.758,435276.535,6478641.254,4.24,15-9-F-11-B
3318.2,69.26,116.66,2835.07,259.874,62.04,435309.805,6478625.542,3.49,15-9-F-11-B
3359.2,70.23,117.13,2849.27,294.178,44.64,435344.096,6478608.148,0.78,15-9-F-11-B
3399.6,71.72,119.84,2862.44,327.741,26.424,435377.647,6478589.938,2.2,15-9-F-11-B
3439.7,71.3,124.16,2875.16,359.984,6.278,435409.879,6478569.799,3.08,15-9-F-11-B
3480,71.64,128.17,2887.97,390.823,-16.266,435440.708,6478547.263,2.84,15-9-F-11-B
3520.5,74.08,126.55,2899.91,421.583,-39.745,435471.457,6478523.792,2.14,15-9-F-11-B
3561,77.83,125.23,2909.74,453.409,-62.77,435503.272,6478500.775,2.94,15-9-F-11-B
3601.4,81.42,123.47,2917.01,486.213,-85.185,435536.065,6478478.367,2.96,15-9-F-11-B
3641.3,85.04,119.76,2921.72,519.946,-105.944,435569.786,6478457.616,3.88,15-9-F-11-B
3681.7,88.67,118.68,2923.93,555.146,-125.632,435604.973,6478437.935,2.81,15-9-F-11-B
3721.9,90.01,117.94,2924.39,590.534,-144.695,435640.35,6478418.879,1.14,15-9-F-11-B
3762.1,89.09,117.33,2924.71,626.147,-163.34,435675.949,6478400.24,0.82,15-9-F-11-B
3802.4,89.1,116.96,2925.35,662.003,-181.724,435711.794,6478381.862,0.28,15-9-F-11-B
3842.7,88.48,117.88,2926.2,697.767,-200.278,435747.545,6478363.314,0.83,15-9-F-11-B
3884,83.95,112.08,2928.93,735.094,-217.674,435784.859,6478345.924,5.34,15-9-F-11-B
3924.5,82.59,108.99,2933.67,772.753,-231.782,435822.505,6478331.821,2.49,15-9-F-11-B
3964.4,80.05,105.02,2939.7,810.459,-243.319,435860.198,6478320.289,3.51,15-9-F-11-B
4004.8,77.79,101.56,2947.46,849.035,-252.435,435898.76,6478311.176,3.03,15-9-F-11-B
4044.9,75.06,98.96,2956.88,887.383,-259.382,435937.095,6478304.232,2.78,15-9-F-11-B
4085,76.09,97.76,2966.87,925.805,-265.027,435975.503,6478298.588,1.16,15-9-F-11-B
4124.9,77.05,95.8,2976.13,964.34,-269.607,436014.025,6478294.01,1.6,15-9-F-11-B
4165.4,79.04,93.43,2984.52,1003.828,-272.792,436053.5,6478290.826,2.26,15-9-F-11-B
4205.7,80.1,91.39,2991.82,1043.425,-274.457,436093.082,6478289.162,1.69,15-9-F-11-B
4245.9,80.09,88.85,2998.74,1083.022,-274.54,436132.666,6478289.079,1.87,15-9-F-11-B
4286.4,78.98,85.96,3006.09,1122.802,-272.739,436172.432,6478290.879,2.26,15-9-F-11-B
4327.3,77.61,81.29,3014.39,1162.592,-268.297,436212.208,6478295.319,3.5,15-9-F-11-B
4367.6,75.14,78.75,3023.89,1201.159,-261.515,436250.762,6478302.099,2.6,15-9-F-11-B
4408.3,70.74,77.64,3035.83,1239.236,-253.562,436288.826,6478310.05,3.34,15-9-F-11-B
4448.3,66.71,76.16,3050.34,1275.533,-245.122,436325.11,6478318.486,3.19,15-9-F-11-B
4488.3,61.74,75.23,3067.73,1310.427,-236.231,436359.991,6478327.374,3.78,15-9-F-11-B
4528.6,57.15,73.3,3088.21,1343.823,-226.836,436393.375,6478336.766,3.63,15-9-F-11-B
4569.2,52.85,71.54,3111.49,1375.521,-216.807,436425.063,6478346.792,3.35,15-9-F-11-B
4609.6,49.15,69.4,3136.91,1405.109,-206.328,436454.64,6478357.267,3.01,15-9-F-11-B
4649.9,44.55,67.61,3164.47,1432.462,-195.575,436481.984,6478368.016,3.56,15-9-F-11-B
4690.3,39.91,65.44,3194.38,1457.367,-184.784,436506.88,6478378.804,3.61,15-9-F-11-B
4730.3,37.45,64.41,3225.6,1480.01,-174.196,436529.515,6478389.388,1.91,15-9-F-11-B
4757.1,36.8,64.18,3246.97,1494.585,-167.18,436544.085,6478396.401,0.74,15-9-F-11-B
4770,36.8,64.18,3257.3,1501.541,-163.814,436551.039,6478399.766,0,15-9-F-11-B
145.9,0,0,145.9,-0.926,4.651,435049.095,6478568.172,0,15-9-F-11-T2
150,0.09,227.76,150,-0.929,4.648,435049.093,6478568.17,0.66,15-9-F-11-T2
160,0.2,225.57,160,-0.947,4.631,435049.074,6478568.152,0.33,15-9-F-11-T2
170,0.19,227.59,170,-0.972,4.608,435049.05,6478568.129,0.04,15-9-F-11-T2
180,0.23,231.32,180,-1,4.584,435049.022,6478568.105,0.13,15-9-F-11-T2
190,0.23,233.02,190,-1.031,4.559,435048.99,6478568.081,0.02,15-9-F-11-T2
200,0.22,235.12,200,-1.063,4.536,435048.958,6478568.058,0.04,15-9-F-11-T2
210,0.24,234.55,210,-1.096,4.513,435048.925,6478568.034,0.06,15-9-F-11-T2
220,0.34,239.76,220,-1.138,4.486,435048.883,6478568.007,0.31,15-9-F-11-T2
230,0.42,244.41,230,-1.197,4.455,435048.824,6478567.977,0.26,15-9-F-11-T2
240,0.57,252.51,240,-1.278,4.424,435048.744,6478567.946,0.5,15-9-F-11-T2
250,0.92,274.57,250,-1.405,4.416,435048.616,6478567.937,1.34,15-9-F-11-T2
260,1.13,286.19,260,-1.58,4.45,435048.442,6478567.971,0.88,15-9-F-11-T2
270,1.16,287.83,269.99,-1.771,4.508,435048.251,6478568.03,0.13,15-9-F-11-T2
280,1.2,290.33,279.99,-1.965,4.576,435048.056,6478568.097,0.2,15-9-F-11-T2
290,1.24,293.03,289.99,-2.163,4.654,435047.858,6478568.176,0.21,15-9-F-11-T2
300,1.2,293.2,299.99,-2.359,4.738,435047.663,6478568.259,0.12,15-9-F-11-T2
310,1.19,294.42,309.99,-2.55,4.822,435047.472,6478568.343,0.08,15-9-F-11-T2
320,1.15,292.81,319.98,-2.737,4.904,435047.285,6478568.425,0.16,15-9-F-11-T2
330,1.12,290.98,329.98,-2.921,4.978,435047.101,6478568.499,0.14,15-9-F-11-T2
340,1.1,290.84,339.98,-3.102,5.047,435046.92,6478568.568,0.06,15-9-F-11-T2
350,1.08,288.68,349.98,-3.281,5.111,435046.741,6478568.632,0.14,15-9-F-11-T2
360,1.07,287.43,359.98,-3.459,5.169,435046.563,6478568.691,0.08,15-9-F-11-T2
370,1.1,286.47,369.97,-3.64,5.225,435046.382,6478568.746,0.11,15-9-F-11-T2
380,1.19,289.32,379.97,-3.83,5.286,435046.192,6478568.807,0.32,15-9-F-11-T2
390,1.33,294.68,389.97,-4.034,5.369,435045.989,6478568.89,0.55,15-9-F-11-T2
400,1.73,303.22,399.97,-4.265,5.5,435045.757,6478569.021,1.38,15-9-F-11-T2
410,1.86,305.68,409.96,-4.523,5.677,435045.499,6478569.199,0.45,15-9-F-11-T2
420,1.89,306.23,419.96,-4.788,5.87,435045.234,6478569.391,0.1,15-9-F-11-T2
430,1.96,306.14,429.95,-5.059,6.068,435044.963,6478569.589,0.21,15-9-F-11-T2
440,1.99,306.93,439.94,-5.336,6.273,435044.686,6478569.794,0.12,15-9-F-11-T2
450,2.01,307.01,449.94,-5.615,6.483,435044.408,6478570.004,0.06,15-9-F-11-T2
460,1.99,307.09,459.93,-5.894,6.693,435044.129,6478570.214,0.06,15-9-F-11-T2
470,2.03,307.66,469.93,-6.172,6.906,435043.851,6478570.427,0.13,15-9-F-11-T2
480,2.06,308.33,479.92,-6.454,7.126,435043.57,6478570.646,0.12,15-9-F-11-T2
490,2.05,307.74,489.91,-6.736,7.347,435043.287,6478570.867,0.07,15-9-F-11-T2
500,2.1,310.18,499.91,-7.017,7.574,435043.006,6478571.095,0.3,15-9-F-11-T2
510,2.11,309.44,509.9,-7.3,7.81,435042.724,6478571.33,0.09,15-9-F-11-T2
520,2.12,308.88,519.89,-7.586,8.043,435042.438,6478571.563,0.07,15-9-F-11-T2
530,2.09,308.61,529.89,-7.872,8.273,435042.151,6478571.793,0.09,15-9-F-11-T2
540,2.13,310.13,539.88,-8.157,8.506,435041.867,6478572.026,0.21,15-9-F-11-T2
550,2.13,309.28,549.87,-8.443,8.744,435041.581,6478572.264,0.09,15-9-F-11-T2
560,2.12,309.17,559.87,-8.73,8.978,435041.294,6478572.498,0.03,15-9-F-11-T2
570,2.13,309.03,569.86,-9.018,9.212,435041.006,6478572.732,0.03,15-9-F-11-T2
580,2.16,309.02,579.85,-9.308,9.448,435040.716,6478572.967,0.09,15-9-F-11-T2
590,2.14,309.85,589.85,-9.598,9.686,435040.426,6478573.205,0.11,15-9-F-11-T2
600,2.18,309.02,599.84,-9.889,9.925,435040.135,6478573.445,0.15,15-9-F-11-T2
610,2.15,308.45,609.83,-10.184,10.162,435039.84,6478573.681,0.11,15-9-F-11-T2
620,2.13,307.49,619.82,-10.478,10.391,435039.546,6478573.911,0.12,15-9-F-11-T2
630,2.01,302.74,629.82,-10.773,10.599,435039.251,6478574.119,0.63,15-9-F-11-T2
640,1.68,284.45,639.81,-11.063,10.731,435038.962,6478574.25,2.01,15-9-F-11-T2
650,1.63,275.56,649.81,-11.346,10.781,435038.679,6478574.3,0.78,15-9-F-11-T2
660,1.66,272.6,659.8,-11.633,10.801,435038.392,6478574.321,0.27,15-9-F-11-T2
670,1.79,276.8,669.8,-11.932,10.827,435038.093,6478574.346,0.54,15-9-F-11-T2
680,2.11,265.05,679.79,-12.271,10.829,435037.754,6478574.348,1.53,15-9-F-11-T2
690,2.45,259.38,689.79,-12.664,10.774,435037.361,6478574.293,1.22,15-9-F-11-T2
700,2.77,256.59,699.78,-13.109,10.678,435036.916,6478574.198,1.03,15-9-F-11-T2
710,3.19,251.91,709.76,-13.609,10.536,435036.417,6478574.055,1.46,15-9-F-11-T2
720,4.01,244.94,719.74,-14.19,10.301,435035.836,6478573.821,2.78,15-9-F-11-T2
730,4.67,241.67,729.71,-14.865,9.96,435035.161,6478573.48,2.11,15-9-F-11-T2
740,5.38,239.18,739.67,-15.626,9.527,435034.4,6478573.046,2.23,15-9-F-11-T2
750,6.03,237.66,749.63,-16.473,9.006,435033.554,6478572.526,2,15-9-F-11-T2
760,6.89,236.29,759.56,-17.415,8.392,435032.612,6478571.912,2.62,15-9-F-11-T2
770,7.68,235.54,769.48,-18.465,7.681,435031.562,6478571.201,2.39,15-9-F-11-T2
780,8.37,235.75,779.38,-19.618,6.893,435030.41,6478570.414,2.07,15-9-F-11-T2
790,9.33,235.86,789.26,-20.89,6.028,435029.138,6478569.549,2.88,15-9-F-11-T2
800,10.21,236.82,799.12,-22.303,5.089,435027.726,6478568.61,2.68,15-9-F-11-T2
810,10.79,237.99,808.95,-23.839,4.107,435026.191,6478567.629,1.85,15-9-F-11-T2
820,11.33,239.39,818.77,-25.478,3.111,435024.552,6478566.633,1.81,15-9-F-11-T2
830,11.93,242.49,828.56,-27.24,2.133,435022.79,6478565.656,2.6,15-9-F-11-T2
840,12.31,246.06,838.34,-29.131,1.223,435020.9,6478564.746,2.52,15-9-F-11-T2
850,12.52,249.24,848.1,-31.119,0.407,435018.913,6478563.929,2.15,15-9-F-11-T2
860,12.79,252.71,857.86,-33.189,-0.307,435016.843,6478563.216,2.42,15-9-F-11-T2
870,12.84,255.52,867.61,-35.322,-0.913,435014.711,6478562.61,1.88,15-9-F-11-T2
880,12.75,256.87,877.36,-37.473,-1.442,435012.561,6478562.082,0.94,15-9-F-11-T2
890,12.55,257.29,887.12,-39.607,-1.932,435010.428,6478561.592,0.66,15-9-F-11-T2
900,12.18,258.31,896.89,-41.7,-2.384,435008.336,6478561.139,1.29,15-9-F-11-T2
910,11.4,260.19,906.68,-43.707,-2.767,435006.329,6478560.757,2.61,15-9-F-11-T2
920,10.91,261.87,916.49,-45.617,-3.069,435004.419,6478560.455,1.76,15-9-F-11-T2
930,10.76,262.94,926.31,-47.481,-3.317,435002.557,6478560.207,0.75,15-9-F-11-T2
940,10.58,264.05,936.14,-49.32,-3.527,435000.718,6478559.997,0.82,15-9-F-11-T2
950,10.53,264.5,945.97,-51.143,-3.71,434998.896,6478559.814,0.29,15-9-F-11-T2
960,10.52,265.36,955.8,-52.962,-3.871,434997.077,6478559.653,0.47,15-9-F-11-T2
970,10.48,266.01,965.63,-54.779,-4.009,434995.261,6478559.516,0.38,15-9-F-11-T2
980,10.36,267.69,975.47,-56.585,-4.108,434993.455,6478559.416,0.98,15-9-F-11-T2
990,10.31,270.33,985.31,-58.378,-4.139,434991.663,6478559.385,1.43,15-9-F-11-T2
1000,10.29,272.52,995.14,-60.166,-4.095,434989.876,6478559.43,1.18,15-9-F-11-T2
1010,10.34,273.32,1004.98,-61.954,-4.004,434988.089,6478559.521,0.46,15-9-F-11-T2
1020,10.39,274.63,1014.82,-63.749,-3.879,434986.295,6478559.646,0.72,15-9-F-11-T2
1030,10.48,275.34,1024.65,-65.553,-3.721,434984.491,6478559.803,0.47,15-9-F-11-T2
1040,10.47,275.48,1034.49,-67.363,-3.55,434982.682,6478559.974,0.08,15-9-F-11-T2
1050,10.49,275.78,1044.32,-69.173,-3.371,434980.872,6478560.153,0.17,15-9-F-11-T2
1060,10.66,277.07,1054.15,-70.997,-3.166,434979.049,6478560.358,0.87,15-9-F-11-T2
1070,11.01,278.92,1063.97,-72.858,-2.904,434977.189,6478560.62,1.48,15-9-F-11-T2
1080,11.46,281.15,1073.78,-74.776,-2.564,434975.271,6478560.96,1.88,15-9-F-11-T2
1090,12.02,283.68,1083.57,-76.762,-2.125,434973.285,6478561.398,2.28,15-9-F-11-T2
1100,13.04,287.32,1093.33,-78.851,-1.543,434971.197,6478561.98,3.87,15-9-F-11-T2
1110,14.19,289.87,1103.05,-81.081,-0.791,434968.968,6478562.732,3.89,15-9-F-11-T2
1120,15.14,291.09,1112.73,-83.452,0.096,434966.598,6478563.619,3,15-9-F-11-T2
1130,16.29,291.76,1122.35,-85.973,1.086,434964.078,6478564.608,3.49,15-9-F-11-T2
1140,18.12,291.94,1131.91,-88.718,2.187,434961.333,6478565.709,5.49,15-9-F-11-T2
1150,19.37,291.62,1141.37,-91.703,3.379,434958.35,6478566.9,3.76,15-9-F-11-T2
1160,20.2,291.03,1150.78,-94.856,4.609,434955.198,6478568.131,2.56,15-9-F-11-T2
1170,20.94,290.28,1160.15,-98.143,5.848,434951.912,6478569.369,2.36,15-9-F-11-T2
1180,21.74,288.95,1169.46,-101.571,7.069,434948.485,6478570.59,2.8,15-9-F-11-T2
1190,22.06,288.24,1178.74,-105.107,8.258,434944.951,6478571.778,1.25,15-9-F-11-T2
1200,22.3,287.56,1188,-108.699,9.418,434941.36,6478572.938,1.05,15-9-F-11-T2
1210,22.53,286.61,1197.24,-112.344,10.538,434937.716,6478574.058,1.29,15-9-F-11-T2
1220,22.78,285.44,1206.47,-116.046,11.602,434934.016,6478575.121,1.55,15-9-F-11-T2
1230,22.91,284.77,1215.69,-119.794,12.613,434930.269,6478576.132,0.87,15-9-F-11-T2
1240,22.99,284.46,1224.9,-123.567,13.597,434926.497,6478577.115,0.43,15-9-F-11-T2
1250,23.1,284.53,1234.1,-127.357,14.577,434922.708,6478578.095,0.34,15-9-F-11-T2
1260,23.02,284.46,1243.3,-131.149,15.557,434918.917,6478579.075,0.25,15-9-F-11-T2
1270,22.4,284.23,1252.52,-134.889,16.514,434915.178,6478580.031,1.88,15-9-F-11-T2
1280,22.06,284.22,1261.78,-138.557,17.444,434911.512,6478580.96,1.02,15-9-F-11-T2
1290,21.49,284.19,1271.07,-142.153,18.354,434907.917,6478581.87,1.71,15-9-F-11-T2
1300,20.95,283.85,1280.39,-145.665,19.231,434904.407,6478582.747,1.66,15-9-F-11-T2
1310,20.83,283.6,1289.73,-149.128,20.077,434900.944,6478583.593,0.45,15-9-F-11-T2
1320,20.85,283.68,1299.08,-152.586,20.916,434897.488,6478584.432,0.1,15-9-F-11-T2
1330,21.02,283.73,1308.42,-156.057,21.762,434894.018,6478585.278,0.51,15-9-F-11-T2
1340,21.31,283.42,1317.74,-159.567,22.61,434890.51,6478586.125,0.93,15-9-F-11-T2
1350,21.61,283.17,1327.05,-163.127,23.451,434886.951,6478586.966,0.94,15-9-F-11-T2
1360,21.97,282.58,1336.33,-166.746,24.278,434883.333,6478587.793,1.26,15-9-F-11-T2
1370,22.45,281.18,1345.59,-170.445,25.056,434879.635,6478588.57,2.14,15-9-F-11-T2
1380,23.22,278.29,1354.81,-174.269,25.71,434875.813,6478589.224,4.08,15-9-F-11-T2
1390,23.84,276.25,1363.98,-178.229,26.214,434871.854,6478589.728,3.07,15-9-F-11-T2
1400,24.53,274.57,1373.1,-182.307,26.6,434867.778,6478590.114,2.92,15-9-F-11-T2
1410,25.42,271.77,1382.17,-186.522,26.832,434863.564,6478590.345,4.44,15-9-F-11-T2
1420,26.38,269.11,1391.16,-190.888,26.863,434859.199,6478590.377,4.52,15-9-F-11-T2
1430,27.21,266.65,1400.09,-195.392,26.695,434854.697,6478590.209,4.16,15-9-F-11-T2
1440,27.94,264.45,1408.95,-200.007,26.335,434850.084,6478589.849,3.76,15-9-F-11-T2
1450,28.74,261.88,1417.75,-204.719,25.769,434845.374,6478589.283,4.38,15-9-F-11-T2
1460,29.48,260.21,1426.49,-209.524,25.011,434840.57,6478588.525,3.3,15-9-F-11-T2
1470,29.92,259.85,1435.18,-214.403,24.153,434835.692,6478587.668,1.42,15-9-F-11-T2
1480,30.4,259.6,1443.82,-219.347,23.257,434830.75,6478586.772,1.49,15-9-F-11-T2
1490,31.22,259.49,1452.41,-224.384,22.327,434825.715,6478585.842,2.47,15-9-F-11-T2
1500,31.87,259.45,1460.93,-229.527,21.371,434820.574,6478584.887,1.95,15-9-F-11-T2
1510,32.35,259.26,1469.4,-234.751,20.389,434815.351,6478583.905,1.47,15-9-F-11-T2
1520,32.72,259.31,1477.84,-240.036,19.389,434810.069,6478582.905,1.11,15-9-F-11-T2
1530,33.21,259.32,1486.23,-245.383,18.38,434804.724,6478581.897,1.47,15-9-F-11-T2
1540,33.41,259.4,1494.58,-250.78,17.366,434799.328,6478580.883,0.61,15-9-F-11-T2
1550,33.61,259.49,1502.92,-256.207,16.355,434793.903,6478579.872,0.62,15-9-F-11-T2
1560,33.95,259.53,1511.23,-261.674,15.343,434788.438,6478578.86,1.02,15-9-F-11-T2
1570,34.05,259.37,1519.52,-267.172,14.319,434782.942,6478577.837,0.4,15-9-F-11-T2
1580,34.02,258.98,1527.81,-272.669,13.268,434777.447,6478576.786,0.66,15-9-F-11-T2
1590,34.03,258.75,1536.1,-278.159,12.187,434771.958,6478575.706,0.39,15-9-F-11-T2
1600,33.97,258.48,1544.39,-283.641,11.083,434766.478,6478574.603,0.49,15-9-F-11-T2
1610,34,258.45,1552.68,-289.118,9.966,434761.004,6478573.485,0.1,15-9-F-11-T2
1620,34.2,258.47,1560.96,-294.611,8.844,434755.512,6478572.364,0.6,15-9-F-11-T2
1630,34.38,258.36,1569.22,-300.13,7.713,434749.995,6478571.233,0.57,15-9-F-11-T2
1640,34.44,258.17,1577.47,-305.663,6.563,434744.464,6478570.084,0.37,15-9-F-11-T2
1650,34.42,257.88,1585.72,-311.194,5.39,434738.935,6478568.911,0.5,15-9-F-11-T2
1660,34.35,257.77,1593.97,-316.715,4.199,434733.417,6478567.721,0.28,15-9-F-11-T2
1670,34.31,257.67,1602.23,-322.225,3,434727.908,6478566.522,0.21,15-9-F-11-T2
1680,34.23,257.7,1610.49,-327.726,1.799,434722.409,6478565.321,0.25,15-9-F-11-T2
1690,34.23,257.66,1618.76,-333.222,0.598,434716.915,6478564.121,0.07,15-9-F-11-T2
1700,34.3,257.68,1627.03,-338.722,-0.604,434711.416,6478562.919,0.21,15-9-F-11-T2
1710,34.41,257.59,1635.28,-344.235,-1.812,434705.906,6478561.711,0.36,15-9-F-11-T2
1720,34.04,257.5,1643.55,-349.727,-3.025,434700.416,6478560.499,1.12,15-9-F-11-T2
1730,33.09,257.75,1651.88,-355.127,-4.21,434695.018,6478559.314,2.88,15-9-F-11-T2
1740,32.35,258.27,1660.3,-360.414,-5.333,434689.732,6478558.191,2.37,15-9-F-11-T2
1750,31.64,258.71,1668.78,-365.606,-6.391,434684.542,6478557.134,2.24,15-9-F-11-T2
1760,30.59,259.3,1677.34,-370.679,-7.377,434679.471,6478556.149,3.28,15-9-F-11-T2
1770,29.68,259.79,1685.99,-375.616,-8.288,434674.536,6478555.238,2.83,15-9-F-11-T2
1780,29.07,260.04,1694.7,-380.445,-9.147,434669.708,6478554.379,1.87,15-9-F-11-T2
1790,28.52,260.12,1703.46,-385.19,-9.977,434664.965,6478553.549,1.65,15-9-F-11-T2
1800,27.54,260.26,1712.29,-389.82,-10.778,434660.336,6478552.749,2.95,15-9-F-11-T2
1810,26.37,260.65,1721.21,-394.29,-11.53,434655.868,6478551.997,3.55,15-9-F-11-T2
1820,25.69,260.79,1730.19,-398.621,-12.237,434651.539,6478551.29,2.05,15-9-F-11-T2
1830,25.1,261.16,1739.22,-402.857,-12.91,434647.305,6478550.617,1.83,15-9-F-11-T2
1840,24.31,261.3,1748.31,-406.987,-13.548,434643.176,6478549.98,2.38,15-9-F-11-T2
1850,23.4,261.24,1757.45,-410.984,-14.161,434639.18,6478549.367,2.73,15-9-F-11-T2
1860,22.79,260.74,1766.65,-414.859,-14.776,434635.307,6478548.753,1.92,15-9-F-11-T2
1870,21.92,260.49,1775.9,-418.611,-15.396,434631.556,6478548.133,2.63,15-9-F-11-T2
1880,20.98,260.58,1785.21,-422.218,-15.997,434627.95,6478547.532,2.82,15-9-F-11-T2
1890,20.23,261.02,1794.57,-425.692,-16.56,434624.477,6478546.969,2.3,15-9-F-11-T2
1900,19.65,261.39,1803.97,-429.062,-17.081,434621.108,6478546.447,1.78,15-9-F-11-T2
1910,19.02,261.79,1813.41,-432.338,-17.566,434617.834,6478545.963,1.93,15-9-F-11-T2
1920,18.16,262.11,1822.88,-435.494,-18.012,434614.679,6478545.517,2.6,15-9-F-11-T2
1930,17.32,262.45,1832.41,-438.513,-18.422,434611.66,6478545.107,2.54,15-9-F-11-T2
1940,16.56,262.81,1841.97,-441.403,-18.796,434608.772,6478544.734,2.3,15-9-F-11-T2
1950,15.62,263.53,1851.58,-444.155,-19.126,434606.021,6478544.404,2.88,15-9-F-11-T2
